SMILES,source_file
[H]c1sc([H])c(C2([H])N(C([H])([H])[H])c3c([H])c([H])c(OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c3C([H])([H])N2C([H])([H])[H])c1[H],trainingset_covalent_smiles.csv
[H]c1sc(C2([H])N(C([H])([H])[H])c3c([H])c([H])c(OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c3C([H])([H])N2C([H])([H])[H])c([H])c1[H],trainingset_covalent_smiles.csv
[H]c1oc([H])c(C2([H])N(C([H])([H])[H])c3c([H])c([H])c(OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c3C([H])([H])N2C([H])([H])[H])c1[H],trainingset_covalent_smiles.csv
[H]c1c([H])c2c(c([H])c1OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])(c1c([H])c([H])n([H])c1[H])N2C([H])([H])[H],trainingset_covalent_smiles.csv
[H]c1c([H])c2c(c([H])c1OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])(c1c([H])c([H])c([H])c3c([H])c([H])c([H])c([H])c13)N2C([H])([H])[H],trainingset_covalent_smiles.csv
[H]c1c([H])c2c(c([H])c1OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])(c1c([H])c([H])c3c([H])c([H])c([H])c([H])c3c1[H])N2C([H])([H])[H],trainingset_covalent_smiles.csv
[H]c1c([H])c(Cl)c(C2([H])N(C([H])([H])[H])c3c([H])c([H])c(OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c3C([H])([H])N2C([H])([H])[H])c(Cl)c1[H],trainingset_covalent_smiles.csv
[H]c1c([H])c([H])c(C2([H])N(C([H])([H])[H])c3c([H])c([H])c(OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c3C([H])([H])N2C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],trainingset_covalent_smiles.csv
[H]c1c([H])c([H])c(C2([H])N(C([H])([H])[H])c3c([H])c([H])c(OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c3C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])[H])c([H])c1[H],trainingset_covalent_smiles.csv
[H]c1c([H])c([H])c(C([H])([H])N2C([H])([H])c3c([H])c(OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c([H])c3N(C([H])([H])[H])C2([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],trainingset_covalent_smiles.csv
