ID,SMILES
248,O(N(=O)=O)[C@@H]([C@@H](ON(=O)=O)CON(=O)=O)CON(=O)=O
249,S1c2c(N(CCCN(C)C)c3c1cccc3)cc(cc2)C(=O)C
250,S1c2c(N(C[C@H](N(C)C)C)c3c1cccc3)cc(cc2)C(=O)C
251,N(CCCc1ccccc1)(CCCc1ccccc1)CC
252,O1CCN(C[C@H]2CCc3[nH]c(c(c3C2=O)CC)C)CC1
253,N1(CC2=C(CC1)c1c([C@@H]2c2ccccc2)cccc1)C
254,N(CC[C@@H](c1ccccc1)c1ncccc1)(C)C
255,Ic1cn([C@@H]2O[C@@H]([C@@H](O)C2)CO)c(=O)[nH]c1=O
256,S1c2c(N(CCCN3CCC(CC3)CCO)c3c1cccc3)cc(S(=O)(=O)N(C)C)cc2
257,S1c2c(N(CCCN3CCN(CC3)C)c3c1cccc3)cc(S(=O)(=O)N(C)C)cc2
258,S(=O)(=O)(N(C)C)c1cc2/C(=C\CCN3CCN(CC3)C)/c3c(Sc2cc1)cccc3
259,Clc1cc2/C(=C\CCN3CCN(CC3)CCO)/c3c(Sc2cc1)cccc3
260,O=C(N)C(CC[N](C(C)C)(C(C)C)C)(c1ccccc1)c1ccccc1
261,N(Cc1ccccc1)(CC#C)C
262,S([C@H]1O[C@H]([C@H](NC(=O)[C@H]2N(C[C@@H](C2)CCC)C)[C@H](O)C)[C@H](O)[C@H](O)[C@H]1O)C
263,Clc1cc(c2ccc(S(=O)(=O)C)cc2)c(nc1)c1ccc(nc1)C
264,Fc1cn([C@@H]2O[C@@H]([C@@H](O)[C@H]2O)CO)c(=O)[nH]c1=O
265,O(C(=O)CCCCCCCC)C
